wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
4.009408602150537035e+02,5.334665334665335268e-02,4.009408602150537035e+02,2.297702297702297614e-02,4.004704301075268518e+02,1.372627372627372999e-01,4.000000000000000000e+02,5.408123325166119821e-02,2.314767434298819343e-02,1.368268247422365080e-01
4.079973118279569917e+02,4.615384615384617029e-02,4.117607526881720332e+02,2.297702297702297614e-02,4.061155913978494709e+02,1.508491508491508482e-01,4.025000000000000000e+02,5.198664450999131159e-02,2.276475224907013178e-02,1.405533191265541382e-01
4.169354838709676869e+02,3.576423576423576334e-02,4.239919354838709751e+02,2.537462537462537027e-02,4.117607526881720332e+02,1.724275724275724508e-01,4.050000000000000000e+02,4.949699324535079825e-02,2.259335859981757497e-02,1.471917973750429820e-01
4.254032258064515872e+02,2.777222777222777828e-02,4.334005376344085789e+02,2.777222777222777828e-02,4.188172043010752077e+02,1.980019980019980252e-01,4.075000000000000000e+02,4.672790302658494377e-02,2.260645920779527293e-02,1.558125556463662298e-01
4.343413978494623393e+02,1.978021978021977934e-02,4.437500000000000000e+02,3.416583416583417188e-02,4.268145161290321994e+02,2.227772227772227831e-01,4.100000000000000000e+02,4.379499742253906147e-02,2.277701988556802074e-02,1.654858900991868498e-01
4.409274193548386620e+02,1.418581418581418840e-02,4.526881720430106952e+02,4.935064935064935321e-02,4.399865591397849585e+02,2.531468531468531458e-01,4.125000000000000000e+02,4.081390000205837448e-02,2.307800644570058568e-02,1.752863163060140728e-01
4.508064516129031745e+02,9.390609390609386264e-03,4.597446236559139834e+02,7.172827172827174469e-02,4.526881720430106952e+02,2.707292707292707212e-01,4.150000000000000000e+02,3.790023433398823777e-02,2.348238470075774895e-02,1.846264614186427233e-01
4.578629032258064626e+02,6.993006993006992134e-03,4.677419354838709751e+02,9.970029970029971322e-02,4.639784946236559335e+02,2.723276723276723543e-01,4.175000000000000000e+02,3.516924543585719237e-02,2.396312046330427784e-02,1.934987691343141025e-01
4.663306451612903061e+02,6.993006993006992134e-03,4.743279569892472978e+02,1.284715284715284844e-01,4.827956989247311412e+02,2.595404595404595671e-01,4.200000000000000000e+02,3.267713314897255361e-02,2.449317954590495006e-02,2.019511102899285426e-01
4.747983870967741495e+02,1.178821178821178040e-02,4.846774193548386620e+02,1.724275724275724508e-01,4.945564516129031745e+02,2.459540459540459634e-01,4.225000000000000000e+02,3.035750518138024406e-02,2.504552776112454332e-02,2.099898146763390927e-01
4.832661290322580498e+02,1.258741258741258306e-02,4.940860215053763227e+02,2.107892107892108124e-01,5.072580645161290249e+02,2.107892107892108124e-01,4.250000000000000000e+02,2.812871240904987399e-02,2.559402589064480038e-02,2.175766526963239800e-01
