wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
3.010752688172043463e+02,5.910755910755910447e-02,3.005376344086021732e+02,5.710955710955711861e-02,3.005376344086021732e+02,5.044955044955044821e-02,3.000000000000000000e+02,5.612388000000000099e-02,5.366063000000000083e-02,5.365355000000000124e-02
3.080645161290323131e+02,6.443556443556444635e-02,3.091397849462365457e+02,6.510156510156511755e-02,3.048387096774193878e+02,5.311355311355311914e-02,3.025000000000000000e+02,6.219162999999999775e-02,6.606470000000000398e-02,4.699633999999999756e-02
3.129032258064516441e+02,5.311355311355311914e-02,3.139784946236559335e+02,4.978354978354979088e-02,3.091397849462365457e+02,5.977355977355977568e-02,3.050000000000000000e+02,6.516020000000000145e-02,7.039043999999999857e-02,5.369920999999999722e-02
3.177419354838709751e+02,3.712953712953713514e-02,3.198924731182795540e+02,3.579753579753580661e-02,3.112903225806451815e+02,4.911754911754911967e-02,3.075000000000000000e+02,6.493714000000000430e-02,6.862018999999999758e-02,6.092386000000000329e-02
3.236559139784946524e+02,4.245754245754246314e-02,3.301075268817204460e+02,3.513153513153513541e-02,3.145161290322580498e+02,3.779553779553779247e-02,3.100000000000000000e+02,6.142998999999999682e-02,6.273624999999999341e-02,5.614849999999999702e-02
3.295698924731183297e+02,3.712953712953713514e-02,3.381720430107527022e+02,1.714951714951715167e-02,3.193548387096774377e+02,3.379953379953380688e-02,3.125000000000000000e+02,5.454628999999999728e-02,5.472095999999999905e-02,4.373371000000000203e-02
3.327956989247311981e+02,3.446553446553446420e-02,3.564516129032258505e+02,1.448551448551449461e-02,3.236559139784946524e+02,3.979353979353979220e-02,3.150000000000000000e+02,4.487619999999999804e-02,4.654675999999999952e-02,3.674041000000000112e-02
3.360215053763441233e+02,2.580752580752580794e-02,3.779569892473118671e+02,2.713952713952713647e-02,3.290322580645161565e+02,3.379953379953380688e-02,3.175000000000000000e+02,3.747201000000000004e-02,3.982114999999999960e-02,3.340292000000000261e-02
3.392473118279569917e+02,1.248751248751249487e-02,4.123655913978494709e+02,3.379953379953380688e-02,3.333333333333333712e+02,3.246753246753247835e-02,3.200000000000000000e+02,3.751687000000000077e-02,3.568803999999999726e-02,3.460537000000000335e-02
3.473118279569893048e+02,2.181152181152182234e-02,4.413978494623656843e+02,4.445554445554446288e-02,3.354838709677419502e+02,2.580752580752580794e-02,3.225000000000000000e+02,4.129876999999999854e-02,3.471018000000000020e-02,3.879019000000000217e-02
3.543010752688172715e+02,2.580752580752580794e-02,4.521505376344086926e+02,6.243756243756243274e-02,3.376344086021505291e+02,1.648351648351648047e-02,3.250000000000000000e+02,4.240971000000000324e-02,3.551162000000000069e-02,3.919479000000000019e-02
3.580645161290323131e+02,3.579753579753580661e-02,4.655913978494623962e+02,6.776556776556777462e-02,3.397849462365591648e+02,7.825507825507824200e-03,3.275000000000000000e+02,3.969758000000000314e-02,3.629050000000000331e-02,3.549489000000000116e-02
3.645161290322581067e+02,4.112554112554113461e-02,4.720430107526882466e+02,9.240759240759241488e-02,3.462365591397849585e+02,1.315351315351315220e-02,3.300000000000000000e+02,3.676820000000000088e-02,3.524494999999999711e-02,3.361913999999999875e-02
3.672043010752688588e+02,5.178155178155179061e-02,4.768817204301075208e+02,1.163836163836163839e-01,3.516129032258064626e+02,1.182151182151182367e-02,3.325000000000000000e+02,3.484098000000000056e-02,3.109869999999999995e-02,3.352358999999999895e-02
3.720430107526881898e+02,5.910755910755910447e-02,4.806451612903226760e+02,1.323676323676323818e-01,3.543010752688172715e+02,9.157509157509166609e-03,3.350000000000000000e+02,2.951577000000000020e-02,2.496782000000000168e-02,2.766292000000000056e-02
3.758064516129032882e+02,6.510156510156511755e-02,4.870967741935484128e+02,1.783216783216783341e-01,3.569892473118279668e+02,1.248751248751249487e-02,3.375000000000000000e+02,1.917144000000000140e-02,1.864864000000000105e-02,1.710247000000000156e-02
3.784946236559139834e+02,7.708957708957708821e-02,4.897849462365592217e+02,2.096237096237096031e-01,3.602150537634408920e+02,1.381951381951382340e-02,3.400000000000000000e+02,1.099109000000000023e-02,1.380083999999999998e-02,7.299710000000000053e-03
3.811827956989247923e+02,8.707958707958707301e-02,4.956989247311828422e+02,2.502497502497502690e-01,3.650537634408602798e+02,9.823509823509823935e-03,3.425000000000000000e+02,1.170973999999999973e-02,1.081638000000000044e-02,6.551600000000000305e-03
3.865591397849462965e+02,8.574758574758575835e-02,5.016129032258064626e+02,2.662337662337662669e-01,3.688172043010753214e+02,1.515151515151515194e-02,3.450000000000000000e+02,1.714484000000000147e-02,9.399980000000000488e-03,1.104429999999999995e-02
3.903225806451613380e+02,8.841158841158841541e-02,5.032258064516129252e+02,2.902097902097902082e-01,3.752688172043011150e+02,2.713952713952713647e-02,3.475000000000000000e+02,2.204508000000000162e-02,9.249600000000000183e-03,1.428184000000000051e-02
3.946236559139784958e+02,7.775557775557775941e-02,5.075268817204301968e+02,3.128538128538128626e-01,3.779569892473118671e+02,4.179154179154179194e-02,3.500000000000000000e+02,2.314572999999999978e-02,1.006317999999999969e-02,1.367416999999999938e-02
4.021505376344086358e+02,6.776556776556777462e-02,5.102150537634408920e+02,3.414918414918415301e-01,3.811827956989247923e+02,5.777555777555778982e-02,3.525000000000000000e+02,2.353030000000000052e-02,1.153864999999999925e-02,1.054654000000000008e-02
4.080645161290323131e+02,5.511155511155510500e-02,5.182795698924732051e+02,3.588078588078588149e-01,3.849462365591398338e+02,7.509157509157510235e-02,3.550000000000000000e+02,2.749634999999999926e-02,1.337396000000000071e-02,9.602879999999999402e-03
4.182795698924731482e+02,3.446553446553446420e-02,5.241935483870968255e+02,3.774558774558774976e-01,3.881720430107527591e+02,1.030636030636030709e-01,3.575000000000000000e+02,3.462765999999999761e-02,1.527084000000000080e-02,1.311928000000000052e-02
4.258064516129032882e+02,1.914751914751915141e-02,5.290322580645162134e+02,4.020979020979020824e-01,3.908602150537634543e+02,1.330336330336330253e-01,3.600000000000000000e+02,3.736565000000000025e-02,1.706289000000000070e-02,1.393625000000000072e-02
4.360215053763441801e+02,1.515151515151515194e-02,5.327956989247312549e+02,4.047619047619047672e-01,3.946236559139784958e+02,1.776556776556776629e-01,3.625000000000000000e+02,3.773685000000000234e-02,1.874649999999999928e-02,1.137940999999999953e-02
4.403225806451613380e+02,1.115551115551116634e-02,5.376344086021506428e+02,3.967698967698968238e-01,3.994623655913978837e+02,2.142857142857142738e-01,3.650000000000000000e+02,4.277775999999999801e-02,2.032814000000000149e-02,9.804580000000000239e-03
4.440860215053763795e+02,1.515151515151515194e-02,5.446236559139784958e+02,3.867798867798868390e-01,4.048387096774193878e+02,2.495837495837495978e-01,3.675000000000000000e+02,5.277310999999999808e-02,2.181425999999999851e-02,1.296129000000000031e-02
4.516129032258064626e+02,8.491508491508495404e-03,5.483870967741936511e+02,3.941058941058941389e-01,4.107526881720430083e+02,2.762237762237762517e-01,3.700000000000000000e+02,5.763810999999999934e-02,2.321134000000000044e-02,1.657793999999999934e-02
4.591397849462365457e+02,7.825507825507824200e-03,5.505376344086022300e+02,4.000999000999001520e-01,4.155913978494623962e+02,2.882117882117881669e-01,3.725000000000000000e+02,5.940399999999999847e-02,2.452582999999999847e-02,1.945030999999999843e-02
4.634408602150538172e+02,3.829503829503838608e-03,5.553763440860216178e+02,3.781218781218781411e-01,4.198924731182796108e+02,2.895437895437895648e-01,3.750000000000000000e+02,6.280020999999999520e-02,2.576420000000000099e-02,2.601631999999999903e-02
