wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
3.509274193548386620e+02,7.226107226107239545e-03,3.518548387096774377e+02,6.293706293706305410e-03,3.513911290322580498e+02,1.631701631701634736e-03,3.500000000000000000e+02,6.850216293223259159e-03,1.435014789732408542e-02,0.000000000000000000e+00
3.564919354838709751e+02,1.188811188811189634e-02,3.583467741935483559e+02,7.226107226107239545e-03,3.583467741935483559e+02,6.993006993007006011e-04,3.525000000000000000e+02,8.033330594489872245e-03,4.600034466760685031e-03,5.532851224608802132e-03
3.602016129032257936e+02,1.934731934731935554e-02,3.625201612903225623e+02,1.748251748251748727e-02,3.685483870967741495e+02,6.293706293706305410e-03,3.550000000000000000e+02,1.005512507446237533e-02,2.434536960230855931e-03,7.442364171336481385e-03
3.648387096774193310e+02,3.333333333333335369e-02,3.694758064516129252e+02,3.053613053613055128e-02,3.708669354838709751e+02,2.773892773892774888e-02,3.575000000000000000e+02,1.346561876543118930e-02,5.452844305586559623e-03,2.973202850481769521e-03
3.694758064516129252e+02,4.452214452214453555e-02,3.745766129032257936e+02,4.358974358974360142e-02,3.796774193548386620e+02,8.181818181818184543e-02,3.600000000000000000e+02,1.881483069968673330e-02,1.125414543067976107e-02,0.000000000000000000e+00
3.741129032258064626e+02,6.130536130536132222e-02,3.819959677419354875e+02,5.198135198135198087e-02,3.838508064516129252e+02,1.368298368298368484e-01,3.625000000000000000e+02,2.623974236647682451e-02,1.743762926336242525e-02,0.000000000000000000e+00
3.764314516129031745e+02,7.249417249417250408e-02,3.912701612903225623e+02,5.198135198135198087e-02,3.880241935483870748e+02,2.048951048951049014e-01,3.650000000000000000e+02,3.377128509013634788e-02,2.224126035064518531e-02,0.000000000000000000e+00
3.815322580645160997e+02,8.181818181818184543e-02,3.963709677419354875e+02,4.079254079254079901e-02,3.912701612903225623e+02,2.645687645687646583e-01,3.675000000000000000e+02,3.977737762264673543e-02,2.652067896363787675e-02,0.000000000000000000e+00
3.861693548387096371e+02,8.461538461538462008e-02,4.033266129032257936e+02,2.680652680652681474e-02,3.977620967741935374e+02,3.400932400932401567e-01,3.700000000000000000e+02,4.594442169523169084e-02,3.179597241152255088e-02,1.971845890185695144e-02
3.917338709677419502e+02,7.808857808857810889e-02,4.088911290322580498e+02,1.841491841491842141e-02,4.070362903225806122e+02,3.876456876456877421e-01,3.725000000000000000e+02,5.425784420290238885e-02,3.845976526325271816e-02,3.954357573231012668e-02
3.954435483870967687e+02,6.876456876456876754e-02,4.130645161290322562e+02,2.027972027972028968e-02,4.149193548387096371e+02,4.277389277389278543e-01,3.750000000000000000e+02,6.576075008548383505e-02,4.445904427953444732e-02,5.217605096675879961e-02
4.000806451612903061e+02,5.757575757575758568e-02,4.177016129032257936e+02,2.400932400932401234e-02,4.209475806451612812e+02,4.510489510489511522e-01,3.775000000000000000e+02,7.609952645557564732e-02,4.829559740803379686e-02,6.486634544599093055e-02
4.042540322580645125e+02,4.358974358974360142e-02,4.228024193548386620e+02,1.934731934731935554e-02,4.265120967741935374e+02,4.603729603729604936e-01,3.800000000000000000e+02,8.048031532948907163e-02,5.060200459791939359e-02,8.511409748809942166e-02
4.079637096774193878e+02,3.240093240093241955e-02,4.274395161290322562e+02,1.002331002331002807e-02,4.348588709677419502e+02,4.818181818181819231e-01,3.825000000000000000e+02,8.263715479923862406e-02,5.232615445370674551e-02,1.168486279771939751e-01
4.130645161290322562e+02,3.240093240093241955e-02,4.330040322580645125e+02,1.095571095571096221e-02,4.450604838709677438e+02,5.144522144522145624e-01,3.850000000000000000e+02,8.437052621389141971e-02,5.389518588927898896e-02,1.544274220167187461e-01
4.172379032258064626e+02,3.426573426573428782e-02,4.371774193548386620e+02,1.841491841491842141e-02,4.552620967741935374e+02,5.340326340326341237e-01,3.875000000000000000e+02,8.419233552137934951e-02,5.457961604809156986e-02,1.955368194814533778e-01
4.223387096774193878e+02,2.867132867132868301e-02,4.445967741935484128e+02,1.934731934731935554e-02,4.636088709677419502e+02,5.368298368298368706e-01,3.900000000000000000e+02,8.141166801513237405e-02,5.349427239735758677e-02,2.418493318441797546e-01
4.283669354838709751e+02,1.934731934731935554e-02,4.538709677419354875e+02,2.214452214452215795e-02,4.705645161290322562e+02,5.303030303030303871e-01,3.925000000000000000e+02,7.629619119888930712e-02,4.981192041226947115e-02,2.839067661032539380e-01
4.371774193548386620e+02,1.282051282051283048e-02,4.594354838709677438e+02,3.146853146853148542e-02,4.747379032258064626e+02,5.069930069930070893e-01,3.950000000000000000e+02,6.987415753966762233e-02,4.408975171741253557e-02,3.152702395094939547e-01
4.441330645161290249e+02,1.002331002331002807e-02,4.636088709677419502e+02,5.384615384615384914e-02,4.844758064516129252e+02,4.585081585081586253e-01,3.975000000000000000e+02,6.398043891649458914e-02,3.825977321958964200e-02,3.380920521879161589e-01
4.515524193548386620e+02,1.095571095571096221e-02,4.677822580645160997e+02,9.020979020979022489e-02,4.923588709677419502e+02,3.997668997668998303e-01,4.000000000000000000e+02,5.780205064201388021e-02,3.317734960203097550e-02,3.548532582544828284e-01
4.617540322580645125e+02,1.282051282051283048e-02,4.724193548387096371e+02,1.909090909090909449e-01,4.997782258064515872e+02,3.223776223776224636e-01,4.025000000000000000e+02,4.986259897984483130e-02,2.840382872280335091e-02,3.677034771122239531e-01
4.701008064516129252e+02,1.468531468531469875e-02,4.779838709677419502e+02,2.953379953379954292e-01,5.058064516129032313e+02,2.487179487179487503e-01,4.050000000000000000e+02,4.089167107331671130e-02,2.354817634653976269e-02,3.786791959827718879e-01
4.765927419354839003e+02,1.002331002331002807e-02,4.835483870967741495e+02,4.174825174825175234e-01,5.132258064516129252e+02,1.853146853146853401e-01,4.075000000000000000e+02,3.331519090278936557e-02,1.957236310589796635e-02,3.898135610212835611e-01
4.816935483870967687e+02,9.090909090909093937e-03,4.923588709677419502e+02,5.321678321678322554e-01,5.225000000000000000e+02,1.209790209790209958e-01,4.100000000000000000e+02,3.071845875119471117e-02,1.825118708004791826e-02,4.023057419888939057e-01
4.881854838709677438e+02,1.188811188811189634e-02,5.016330645161290249e+02,5.853146853146854456e-01,5.327016129032258505e+02,7.715617715617717476e-02,4.125000000000000000e+02,3.193559715908285412e-02,1.973323805712945758e-02,4.154166712565089403e-01
