wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
4.020161290322581067e+02,6.130536130536130834e-02,4.004032258064516441e+02,4.638694638694638994e-02,4.000000000000000000e+02,3.438228438228437822e-01,4.000000000000000000e+02,6.396238999999999397e-02,4.618186999999999987e-02,3.438228400000000184e-01
4.112903225806451815e+02,4.825174825174823046e-02,4.076612903225806690e+02,4.452214452214452167e-02,4.032258064516129252e+02,3.680652680652680142e-01,4.025000000000000000e+02,6.065103000000000161e-02,4.684763000000000122e-02,3.626269799999999877e-01
4.241935483870968255e+02,3.240093240093240567e-02,4.173387096774193878e+02,3.426573426573424619e-02,4.064516129032258505e+02,3.913752913752913676e-01,4.050000000000000000e+02,5.719239999999999741e-02,4.624302000000000273e-02,3.811179699999999726e-01
4.403225806451613380e+02,2.307692307692306433e-02,4.298387096774193878e+02,2.494172494172493260e-02,4.100806451612903629e+02,4.146853146853146654e-01,4.075000000000000000e+02,5.364852999999999983e-02,4.465195999999999749e-02,3.984569099999999975e-01
4.604838709677419502e+02,1.841491841491840753e-02,4.427419354838709751e+02,2.680652680652680087e-02,4.137096774193548754e+02,4.379953379953379633e-01,4.100000000000000000e+02,5.008150000000000102e-02,4.235838000000000103e-02,4.142034499999999730e-01
4.822580645161290818e+02,1.934731934731934166e-02,4.504032258064516441e+02,3.706293706293704859e-02,4.165322580645161565e+02,4.613053613053612612e-01,4.125000000000000000e+02,4.655335000000000029e-02,3.964619999999999950e-02,4.293695699999999782e-01
4.971774193548387757e+02,2.027972027972027580e-02,4.552419354838709751e+02,3.986013986013985100e-02,4.241935483870968255e+02,4.939393939393939004e-01,4.150000000000000000e+02,4.312614000000000031e-02,3.679933999999999983e-02,4.487337399999999921e-01
5.092741935483871316e+02,3.333333333333333981e-02,4.580645161290323131e+02,6.037296037296037421e-02,4.310483870967742064e+02,5.275058275058274182e-01,4.175000000000000000e+02,3.986191000000000040e-02,3.410171000000000036e-02,4.678447900000000104e-01
5.209677419354839003e+02,4.545454545454545581e-02,4.612903225806451815e+02,7.435897435897435848e-02,4.362903225806451815e+02,5.536130536130535740e-01,4.200000000000000000e+02,3.682273999999999964e-02,3.176348999999999839e-02,4.799268899999999949e-01
5.318548387096774377e+02,4.452214452214452167e-02,4.685483870967742632e+02,1.275058275058275070e-01,4.411290322580645125e+02,5.629370629370629153e-01,4.225000000000000000e+02,3.407066000000000261e-02,2.975167000000000089e-02,4.883059799999999728e-01
5.391129032258064626e+02,3.146853146853147154e-02,4.745967741935484128e+02,1.946386946386946537e-01,4.479838709677419502e+02,5.834498834498833553e-01,4.250000000000000000e+02,3.166709000000000190e-02,2.798314999999999830e-02,4.970193099999999919e-01
5.495967741935484128e+02,2.307692307692306433e-02,4.782258064516129252e+02,2.496503496503496566e-01,4.596774193548387757e+02,5.853146853146852235e-01,4.275000000000000000e+02,2.963152000000000147e-02,2.637484000000000009e-02,5.083119200000000282e-01
5.560483870967742632e+02,2.400932400932399846e-02,4.802419354838709751e+02,3.055944055944055937e-01,4.661290322580645125e+02,5.703962703962703884e-01,4.300000000000000000e+02,2.791659999999999975e-02,2.484367000000000172e-02,5.215698600000000518e-01
5.604838709677419502e+02,3.426573426573424619e-02,4.822580645161290818e+02,3.540792540792540577e-01,4.725806451612903629e+02,5.461538461538461009e-01,4.325000000000000000e+02,2.646897000000000139e-02,2.340845000000000078e-02,5.358339500000000033e-01
5.657258064516129252e+02,5.664335664335663767e-02,4.854838709677419502e+02,3.876456876456876310e-01,4.786290322580645125e+02,5.191142191142190665e-01,4.350000000000000000e+02,2.523531000000000038e-02,2.242409999999999889e-02,5.486961599999999883e-01
5.701612903225807258e+02,1.228438228438228225e-01,4.866935483870968255e+02,4.333333333333333481e-01,4.850806451612903629e+02,4.687645687645687342e-01,4.375000000000000000e+02,2.416226000000000138e-02,2.231473999999999958e-02,5.567498400000000514e-01
5.754032258064517009e+02,2.086247086247086102e-01,4.919354838709678006e+02,4.668997668997668660e-01,4.895161290322581067e+02,4.361305361305360950e-01,4.400000000000000000e+02,2.319647999999999849e-02,2.350448000000000121e-02,5.608994000000000479e-01
5.842741935483870748e+02,3.550116550116549918e-01,4.967741935483871316e+02,5.200466200466199451e-01,4.911290322580645125e+02,4.128205128205127972e-01,4.425000000000000000e+02,2.229209999999999872e-02,2.641744000000000037e-02,5.663518499999999900e-01
5.931451612903226760e+02,4.566433566433566460e-01,5.040322580645161565e+02,5.713286713286712670e-01,4.943548387096774377e+02,3.820512820512820262e-01,4.450000000000000000e+02,2.144729000000000080e-02,3.110144999999999924e-02,5.742895000000000083e-01
5.971774193548387757e+02,4.650349650349649977e-01,5.116935483870968255e+02,6.011655011655011593e-01,4.987903225806452383e+02,3.568764568764568601e-01,4.475000000000000000e+02,2.067638000000000115e-02,3.558889999999999970e-02,5.821604900000000304e-01
6.044354838709678006e+02,4.696969696969696129e-01,5.233870967741936511e+02,6.179487179487178627e-01,5.016129032258064626e+02,3.261072261072260892e-01,4.500000000000000000e+02,1.999373999999999943e-02,3.724029999999999702e-02,5.875593900000000147e-01
6.141129032258065763e+02,4.594405594405593929e-01,5.370967741935484128e+02,6.337995337995336875e-01,5.044354838709678006e+02,2.990675990675990548e-01,4.525000000000000000e+02,1.941371999999999889e-02,3.504874000000000184e-02,5.900668300000000421e-01
6.310483870967742632e+02,4.398601398601398316e-01,5.475806451612903629e+02,6.207459207459207207e-01,5.068548387096774377e+02,2.692307692307692180e-01,4.550000000000000000e+02,1.895066999999999932e-02,3.868193999999999799e-02,5.901375700000000002e-01
6.379032258064517009e+02,4.296037296037296116e-01,5.588709677419354875e+02,5.965034965034964332e-01,5.108870967741935942e+02,2.347319347319347105e-01,4.575000000000000000e+02,1.861894000000000049e-02,5.637088999999999989e-02,5.882301599999999464e-01
6.439516129032258505e+02,4.137529137529136758e-01,5.649193548387097508e+02,5.675990675990675305e-01,5.149193548387097508e+02,2.067599067599067419e-01,4.600000000000000000e+02,1.843289000000000039e-02,6.954734999999999390e-02,5.848028699999999747e-01
6.552419354838709751e+02,3.867132867132866969e-01,5.741935483870968255e+02,5.358974358974358809e-01,5.185483870967742632e+02,1.815850815850815758e-01,4.625000000000000000e+02,1.840199000000000001e-02,8.003741000000000327e-02,5.801096000000000030e-01
6.677419354838709751e+02,3.615384615384615308e-01,5.802419354838709751e+02,5.004662004662003838e-01,5.229838709677419502e+02,1.517482517482517390e-01,4.650000000000000000e+02,1.850036000000000042e-02,9.610958000000000001e-02,5.738462500000000022e-01
6.810483870967742632e+02,3.317016317016316940e-01,5.854838709677419502e+02,4.585081585081585143e-01,5.294354838709678006e+02,1.303030303030303094e-01,4.675000000000000000e+02,1.868656999999999957e-02,1.173035000000000050e-01,5.656622100000000541e-01
6.943548387096775514e+02,3.046620046620046596e-01,5.883064516129032882e+02,4.361305361305360950e-01,5.306451612903226760e+02,1.172494172494172454e-01,4.700000000000000000e+02,1.891908999999999952e-02,1.427031699999999903e-01,5.560921199999999676e-01
7.108870967741936511e+02,2.944055944055943841e-01,5.911290322580646261e+02,4.109557109557109289e-01,5.362903225806452383e+02,1.013986013986013929e-01,4.725000000000000000e+02,1.915642999999999860e-02,1.707094600000000073e-01,5.464509100000000119e-01
7.266129032258065763e+02,2.832167832167831745e-01,5.939516129032258505e+02,3.820512820512820262e-01,5.395161290322580498e+02,8.368298368298367207e-02,4.750000000000000000e+02,1.935707999999999873e-02,1.991926900000000056e-01,5.373235600000000334e-01
7.338709677419356012e+02,2.785547785547785593e-01,5.983870967741936511e+02,3.475524475524475188e-01,5.487903225806452383e+02,6.876456876456875367e-02,4.775000000000000000e+02,1.947952000000000017e-02,2.344155199999999883e-01,5.259608500000000353e-01
7.403225806451613380e+02,2.710955710955710862e-01,6.032258064516129252e+02,3.065268065268065278e-01,5.576612903225807258e+02,4.172494172494171927e-02,4.800000000000000000e+02,1.948226000000000124e-02,2.983934799999999887e-01,5.089691699999999708e-01
7.512096774193548754e+02,2.543123543123542718e-01,6.060483870967742632e+02,2.627039627039626790e-01,5.826612903225807258e+02,1.748251748251747340e-02,4.825000000000000000e+02,1.932381999999999850e-02,3.568126500000000090e-01,4.880227500000000052e-01
7.697580645161290249e+02,2.300699300699300398e-01,6.076612903225807258e+02,2.440559440559440518e-01,6.137096774193548754e+02,9.090909090909080059e-03,4.850000000000000000e+02,1.900811000000000167e-02,3.756166499999999964e-01,4.692623599999999895e-01
7.866935483870968255e+02,2.011655011655011371e-01,6.116935483870968255e+02,2.300699300699300398e-01,6.399193548387097508e+02,1.748251748251747340e-02,4.875000000000000000e+02,1.867527999999999896e-02,4.556214900000000179e-01,4.549204399999999815e-01
7.983870967741936511e+02,1.797202797202797075e-01,6.137096774193548754e+02,2.179487179487179516e-01,6.568548387096775514e+02,2.773892773892773500e-02,4.900000000000000000e+02,1.849084999999999965e-02,4.713164200000000137e-01,4.294473100000000265e-01
8.241935483870968255e+02,1.526806526806526731e-01,6.149193548387097508e+02,1.909090909090909172e-01,6.750000000000000000e+02,3.706293706293704859e-02,4.925000000000000000e+02,1.862039999999999876e-02,4.687712900000000071e-01,3.965518800000000232e-01
8.592741935483871885e+02,1.097902097902097723e-01,6.221774193548387757e+02,1.638694638694638828e-01,7.020161290322580498e+02,3.333333333333333981e-02,4.950000000000000000e+02,1.922946000000000030e-02,4.952869599999999983e-01,3.785280400000000101e-01
8.818548387096774377e+02,8.741258741258740861e-02,6.314516129032258505e+02,1.284382284382284412e-01,7.181451612903226760e+02,2.494172494172493260e-02,4.975000000000000000e+02,2.048347000000000015e-02,5.287536000000000458e-01,3.662767800000000240e-01
9.116935483870968255e+02,6.223776223776221472e-02,6.411290322580646261e+02,1.051282051282051017e-01,7.439516129032258505e+02,1.561771561771561900e-02,5.000000000000000000e+02,2.246311999999999962e-02,5.507994000000000501e-01,3.442800599999999989e-01
9.487903225806452383e+02,3.799533799533798273e-02,6.532258064516129252e+02,8.088578088578086966e-02,7.649193548387097508e+02,1.841491841491840753e-02,5.025000000000000000e+02,2.501781999999999964e-02,5.646190700000000007e-01,3.175788600000000184e-01
9.786290322580646261e+02,2.494172494172493260e-02,6.677419354838709751e+02,7.062937062937062194e-02,7.774193548387097508e+02,3.240093240093240567e-02,5.050000000000000000e+02,2.795782000000000128e-02,5.755060800000000309e-01,2.924445099999999909e-01
9.991935483870968255e+02,1.655011655011653926e-02,6.729838709677419502e+02,7.715617715617713313e-02,7.834677419354839003e+02,5.850815850815850594e-02,5.075000000000000000e+02,3.109340000000000021e-02,5.861553600000000142e-01,2.621973699999999852e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,6.790322580645160997e+02,8.834498834498834274e-02,7.923387096774193878e+02,9.207459207459205153e-02,5.100000000000000000e+02,3.423533000000000132e-02,5.957695600000000313e-01,2.410389800000000138e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,6.822580645161290249e+02,9.393939393939391980e-02,8.052419354838709751e+02,1.331002331002330563e-01,5.125000000000000000e+02,3.723731999999999737e-02,6.033162300000000089e-01,2.234124700000000019e-01
